0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
0	72	4096
0	72	300
